Product ID,Part Number,Product Name,Category,Sub-Category,Compatible Series / Models,Description,Key Features,Unit of Measure,Currency,Price EUR,Price GBP,Image Reference / Alt Text,Catalogue Page,Stock Status,Notes / Expert Tips,Image URL
CT-001,KXE10034,Threshing Element Normal Wear Grain – S-Series,Combine Parts,Threshing,S-Series (Variable Stream Rotor),"Variable stream rotor threshing element for standard grain, normal wear.",Variable stream rotor; Normal wear; Grain optimised; Package of 3,Pack of 3,EUR/GBP,–,–,KXE10034 threshing element | Rotor element close-up,21,In Stock,Check with rotor wear gauge,/images/KXE10034.jpeg
CT-002,AH205120,Chromed Rasp Bar Set RH – 95XX/W5X0/T5X0,Combine Parts,Threshing,95XX WTS; 9780CTS; W5X0; T5X0,Right-hand chromed rasp bar set (5 bars). Chrome treatment for higher durability than standard.,Chromed surface; Higher durability; 5-bar set; Right-hand side,Pack of 5,EUR/GBP,–,–,AH205120 chrome rasp bar set | Shiny chrome bars,21,In Stock,Replace when profile <6 mm thickness,/images/AH205120.jpeg
CB-001,HXE147321,Rotor Drive Belt Heavy Duty – S-Series MY12+,Combine Parts,Belts,S-Series MY12+ Heavy Duty,Heavy duty rotor drive belt. Unique rubber mix and aramid cords for longer life.,Heavy duty; Aramid cords; Extended service intervals; Up to 30% cost savings vs competitive belts,Each,EUR/GBP,–,–,HXE147321 heavy duty belt | Belt on plain background,23,In Stock,"Replace if ruptured, irregular noise or 3% elongation",/images/HXE147321.jpeg
CB-002,H174885,Feederhouse Drive Belt HD/HT – S-Series MY12+,Combine Parts,Belts,S-Series MY12+ (Heavy Duty and High Torque),Heavy Duty and High Torque feederhouse drive belt for S-Series combines.,Heavy Duty & High Torque; Aramid reinforced; OEM spec; S-Series,Each,EUR/GBP,–,–,H174885 feederhouse belt | Wide belt profile view,23,In Stock,,/images/H174885.jpeg
CK-001,Z103205,Premium Chopper Knife Serrated Rotary – W/T-Series,Combine Parts,Chopper Knives,9780CTS; 9000WTS; W/T-Series,Premium serrated rotary chopper knife. Zone-hardened and precision balanced for maximum chopping quality.,Premium grade; Serrated; Zone-hardened; Precision balanced; Reduced fuel; Better chopping,Each,EUR/GBP,–,–,Z103205 premium chopper knife yellow packaging | Knife with serrated edge,23,In Stock,Replace in pairs to maintain rotor balance,/images/Z103205.jpeg
CK-002,KXE10256,Straight Knife Set (8 pcs) – S-Series MY12+,Combine Parts,Chopper Knives,S-Series MY12+,Set of 8 straight chopper knives for S-Series combines.,8-knife set; Straight profile; S-Series; Zone-hardened; Balanced,Set of 8,EUR/GBP,–,–,KXE10256 straight knife set | Set of knives fanned out,23,In Stock,,/images/KXE10256.jpeg
RM-001,–,Remanufactured Turbocharger,Remanufactured Parts,Engine Components,Tractors; Combines; Sprayers; Forage Harvesters,"Remanufactured turbocharger. Failed parts replaced with OEM parts, tested to original specs. 1-year unlimited warranty.",Tested to OEM specs; 1-year unlimited warranty; OEM parts used; Environmentally friendly; Cost-efficient vs new,Exchange Unit,EUR/GBP,–,–,Reman turbocharger green John Deere Reman box | Turbocharger on workbench,27-28,Available on Order,Ask dealer for model-specific part number,
RM-002,–,Remanufactured Hydraulic Pump/Motor,Remanufactured Parts,Hydraulics,Tractors; Combines; Sprayers,Remanufactured hydraulic pump and motor. Tested to original performance specifications.,1-year unlimited warranty; OEM spec testing; Reduces downtime; Competitive pricing,Exchange Unit,EUR/GBP,–,–,Reman hydraulic pump green | Pump unit on plain background,28,Available on Order,Component exchange reduces machine downtime,/images/–.jpeg
RM-003,–,Remanufactured Complete Engine,Remanufactured Parts,Engine Components,Tractors; Combines; Sprayers; Forage Harvesters,"Complete remanufactured engine. 2-year or 2,000-hour warranty (unlimited hours in year 1).","2-year/2,000-hr warranty; Unlimited hours year 1; Latest performance enhancements; In stock ready to go",Exchange Unit,EUR/GBP,–,–,Reman complete engine green | Engine assembly overhead view,28,Available on Order,,/images/–.jpeg
BP-001,AFH202038,Bulk Belt 50m – All Round Balers,Baler Parts,Baler Belts,All Round Balers,50 m roll of bulk baler belt. Diamond tread. Most cost-efficient way to re-belt round balers. Priced per metre.,50 m roll; Diamond tread; Nylon/polyester fabric; 4-rubber-mat sealed; Vulcanised; Flat inside layer,Roll (50 m),EUR/GBP,–,–,AFH202038 bulk belt roll | Roll of baler belt on pallet,37,In Stock,Ask about belt fastener tools,/images/AFH202038.jpeg
BP-002,DC200782,Baler Belt Short 13.07m – 592/854/862/864,Baler Parts,Baler Belts,592; 854; 862; 864,"Pre-cut short baler belt 13.07 m for 592, 854, 862, 864 round balers. Quantity 2.",Pre-cut; 13.07 m; Diamond tread; 5-layer construction; Low heat build-up,Pack of 2,EUR/GBP,–,–,DC200782 baler belt short | Belt section coiled,37,In Stock,,/images/DC200782.jpeg
BP-003,CC131160,Pre-Cutter Knives 14/25 – 623/644/744,Baler Parts,Pre-Cutter,623; 644; 744,"Pre-cutter knives (14 or 25 per set) for 623, 644, 744 balers. Double-tempered for better resistance and high elasticity.",Double-tempered; High elasticity; Reduces torque loads by 30%; Up to 10% less fuel; Better resistance,Set,EUR/GBP,–,–,CC131160 pre-cutter knife set | Knives arranged in a row,38,In Stock,Replace when cracked or broken,/images/CC131160.jpeg
BP-004,CC25176,Round Baler Pick-Up Tooth 1.81m – 572/582/592/842/852/862,Baler Parts,Pick-Up,572; 582; 592; 842; 852; 862,"Pick-up tooth 1.81 m (48 per machine). 5-coil design, shot-peened, up to 47% longer wear life.",5-coil design; Shot-peened; 47% longer wear life; High picking efficiency; Avoids component damage,Pack of 48,EUR/GBP,–,–,CC25176 pick-up tooth set | Close-up of spring teeth,38,In Stock,,/images/CC25176.jpeg
CPK-001,–,John Deere XtraNet+ Netwrap,Baler Parts,Crop Packaging,All John Deere Round Balers,XtraNet+ netwrap designed specifically for John Deere balers. All-day trouble-free baling formula.,JD-specific design; Trouble-free baling; XtraNet+ formula; Reliable performance,Roll,EUR/GBP,–,–,XtraNet+ netwrap roll green yellow branding | Netwrap on baler,39,In Stock,Ask dealer for width and length options,/images/–.jpeg
CPK-002,MCXFA1871,Windrow Hay Moisture Tester (Before Baling),Baler Parts,Crop Packaging,Universal,Portable windrow moisture tester to check hay readiness before baling. No need to make a test bale first.,Pre-baling test; Portable; No test bale needed; Easy to use; Above 20% = quality decrease,Each,EUR/GBP,–,–,MCXFA1871 windrow moisture tester handheld | Tester in hand in field,39,In Stock,,/images/MCXFA1871.jpeg
CPK-003,MCXFA1872,Hay Moisture Tester After Baling – 45cm Probe,Baler Parts,Crop Packaging,Universal,Handheld probe tester (45 cm pistol-grip) for moisture after baling. Range 14–44%.,45 cm probe; Pistol-grip; 14-44% range; Post-baling check; Before barn storage,Each,EUR/GBP,–,–,MCXFA1872 hay moisture probe pistol grip | Probe being inserted into bale,39,In Stock,,/images/MCXFA1872.jpeg
SP-001,HXE93580,Feedroll Reversible Steel Bar Upper – 8100-8600,SPFH Parts,Feedroll,8100-8500 (-MY18); 8100-8600 (MY19+),Reversible steel bar for upper feed roll. Induction-hardened stainless steel. Non-ferrous for metal detection safety.,Reversible; Induction-hardened SS; Non-ferrous; Individually replaceable; 10 per roll,Pack of 10,EUR/GBP,–,–,HXE93580 feedroll steel bar | Bar close-up showing hardened surface,29,In Stock,Smooth crop mat = better silage quality,/images/HXE93580.jpeg
SP-002,HXE53568,Cutterhead Knife Grass Dura Line – 8100-8600,SPFH Parts,Cutterhead Knives,8100-8500 (-MY18); 8100-8600 (MY19+),Grass Dura Line cutterhead knife. Tungsten carbide coating. 33% wider coating than 7080 Series.,Dura Line; Tungsten carbide coating; 33% wider coat vs 7080; Longer wear; Lower engine demand; Stays sharper longer,Each,EUR/GBP,–,–,HXE53568 Dura Line grass knife | Knife showing tungsten coating,31,In Stock,40/48/56/64 per cutterhead rotor,/images/HXE53568.jpeg
SP-003,HXE53570,Cutterhead Knife Corn Dura Line – 8100-8600,SPFH Parts,Cutterhead Knives,8100-8500 (-MY18); 8100-8600 (MY19+),Corn Dura Line cutterhead knife. 41% wider coating than 7080 Series. Tungsten carbide.,Dura Line; Tungsten carbide; 41% wider coat vs 7080; Superior corn cutting; Low fuel demand,Each,EUR/GBP,–,–,HXE53570 Dura Line corn knife | Corn knife with carbide edge,31,In Stock,Order knife fixing parts separately,/images/HXE53570.jpeg
SP-004,HXE142406,Corn Shearbar Kit – 8100-8600,SPFH Parts,Shearbars,8100-8500 (-MY18); 8100-8600 (MY19+),Corn shearbar kit for 8000 series SPFH. Pivoting assembly maintains 0.2–0.4 mm constant cutting gap.,Corn optimised; Pivoting assembly; 0.2-0.4 mm cutting gap; Simplified design; Less Teflon strip cost,Kit,EUR/GBP,–,–,HXE142406 corn shearbar kit | Shearbar mounted in machine,30,In Stock,,/images/HXE142406.jpeg
SP-005,AXE17437,Sharpening Stone – 8000/9000 Series SPFH,SPFH Parts,Sharpening,8000; 9000 Series SPFH,Sintered corundum sharpening stone for SPFH. 450 grinding cycles. Display counter tells when to replace.,450 grinding cycles; Display counter; Sintered corundum; Always fits first time; Fast changeover,Each,EUR/GBP,–,–,AXE17437 sharpening stone brown | Stone on plain background,31,In Stock,,/images/AXE17437.jpeg
SPR-001,AKK41449,Retrofit Joystick for Electronic Hydraulic Valves,Sprayer Parts,Controls,M700(i); R900i; M900(i); R900i,User-friendly joystick replacement for electronic hydraulic valve sprayers. More comfortable and ergonomic.,Ergonomic design; Electronic hydraulic valve compatible; Direct replacement; Improved comfort,Each,EUR/GBP,–,–,AKK41449 joystick ergonomic black/orange | Joystick on plain background,42,In Stock,May require additional harness or software update,/images/AKK41449.jpeg
SPR-002,BWZ10079,Breakaway Protection Base Kit – M700(i)/R700i,Sprayer Parts,Boom Protection,M700(i); R700i,"Protects nozzles, nozzle bodies and boom components against field border damage.",Nozzle protection; Field border safe; Boom component protection; Base kit,Kit,EUR/GBP,–,–,BWZ10079 breakaway protection kit | Boom with protection guard,43,In Stock,Extension kit BWZ10082 available separately,/images/BWZ10079.jpeg
SPR-003,BWZ10054,Stainless Steel Basket – All Series,Sprayer Parts,Tank Accessories,All Series,Stainless steel basket with rinse nozzle for dissolving powders/granulates in eductor.,Stainless steel; Rinse nozzle; For powders & granulates; Tank lid fitting; Dissolves material in sieve,Each,EUR/GBP,–,–,BWZ10054 stainless eductor basket | Basket fitting in tank lid,43,In Stock,,/images/BWZ10054.jpeg
MP-001,AXE66451,StrongBox Battery 95Ah 900CCA GR31 – Combines/Mid Tractors,Maintenance Parts,Batteries,Combines; Mid Tractors,"StrongBox premium 12V battery, 95 Ah, 900 CCA, GR31 box. Factory-activated, ready to install.",95 Ah; 900 A CCA; GR31; 12V; Factory activated; Heavy & light duty; All weather,Each,EUR/GBP,–,–,AXE66451 StrongBox battery yellow-green | Battery on workbench,54,In Stock,330×172×238 mm,/images/AXE66451.jpeg
MP-002,AL175868,StrongBox Battery 110Ah 850CCA H9/LN6 – Utility/Mid Tractors,Maintenance Parts,Batteries,Utility and Mid Tractors,StrongBox 12V 110 Ah 850 CCA H9/LN6 battery.,110 Ah; 850 A CCA; H9/LN6; 12V; Factory activated,Each,EUR/GBP,–,–,AL175868 StrongBox H9 battery | Battery side label view,54,In Stock,394×175×190 mm,/images/AL175868.jpeg
MP-003,AL203840,StrongBox Battery 174Ah 1400CCA B – Mid Tractors/Combines/SPFH/Sprayer,Maintenance Parts,Batteries,Mid Tractors; Combines; SPFH; Sprayer,"Highest-capacity StrongBox battery, 174 Ah, 1,400 CCA, B box size.","174 Ah; 1,400 A CCA; B box; 12V; High-demand applications",Each,EUR/GBP,–,–,AL203840 StrongBox B-size large battery | Large battery unit,54,In Stock,513×223×223 mm,/images/AL203840.jpeg
LB-001,VC50002x020,Plus-50 II Engine Oil 15W40 20L,Maintenance Parts,Lubricants,All John Deere diesel engines incl. low emission,"Premium engine oil 15W40. ACEA E9/E7, API CK-4/CJ-4/SN. Extended drain up to 750 hours. Full fleet solution.",15W40; ACEA E9/E7; API CK-4/CJ-4/SN; Extended drain 750h; All temp; Full fleet,20 L Container,EUR/GBP,–,–,Plus-50 II 20L container green | Oil container with John Deere branding,56,In Stock,"Also available in 5L, 50/55L, 200/209L",/images/VC50002x020.jpeg
LB-002,VC81824-020,Hy-Gard Transmission Hydraulic Oil J20C 20L,Maintenance Parts,Lubricants,All John Deere tractors with JDM J20C spec,"Transmission/hydraulic oil. Exceeds JDM J20C. High pressure formulation, wide temperature viscosity.",JDM J20C; High pressure; Wide temp range; Peace-of-mind protection; RES10060 tested,20 L Container,EUR/GBP,–,–,Hy-Gard 20L container green | Oil container,57,In Stock,"Also in 5L, 50/55L, 200/209L, 1000L",/images/VC81824-020.jpeg
LB-003,VC76215-020,Cool-Gard II Coolant 50/50 Premix 20L,Maintenance Parts,Lubricants,All John Deere equipment; pumps; generators; on-road vehicles,"Ready-to-use 50/50 premix coolant. Extended drain up to 6 years/6,000 hours.","50/50 premix; 6-year/6,000-hr drain; Universal; On & off-road; Reduces cost of operation",20 L Container,EUR/GBP,–,–,Cool-Gard II 20L blue container | Coolant container,57,In Stock,"Also in 5L, 200L, 1000L",/images/VC76215-020.jpeg
LB-004,VC67009-004,Grease-Gard Premium Plus NLGI2 400g,Maintenance Parts,Lubricants,All John Deere equipment,"Top-of-line all-season lithium complex grease NLGI 2. For bearings, drive shafts, all moving parts. Suitable for central lubrication systems.",NLGI 2; ISO L-X-CDHB 2; Lithium complex; All-season; Central lube compatible; 400 g cartridge,400 g Cartridge,EUR/GBP,–,–,Grease-Gard Premium Plus 400g cartridge yellow-green | Cartridge close-up,58,In Stock,Also in 18 kg and 180 kg; Lube-Shuttle version available,/images/VC67009-004.jpeg
CH-001,MCBF26701,Fuel Protect Diesel Conditioner 1L,Chemicals,Fuel Additives,All diesel engines,"Fuel Protect conditioner prevents fuel system damage. Smoother starting, improved water tolerance, less exhaust smoke.",Prevents fuel system damage; Smoother start; Water tolerance; Less exhaust smoke; All-season formula,1 L Bottle,EUR/GBP,–,–,Fuel Protect 1L bottle | Bottle on plain background,58,In Stock,Also available 20L,/images/MCBF26701.jpeg
CH-002,MCB005,Penetrating Oil 500ml,Chemicals,Workshop Chemicals,Universal,Penetrating oil for loosening seized components. General purpose lubrication.,Penetrating; Loosens seized parts; General lubrication; 500 ml aerosol,500 ml Aerosol,EUR/GBP,–,–,MCB005 penetrating oil yellow aerosol | Aerosol can,59,In Stock,,/images/MCB005.jpeg
CH-003,MCB008,Brake & Parts Cleaner 600ml,Chemicals,Workshop Chemicals,Universal,Fast-drying brake and parts cleaner for degreasing components.,Fast drying; Degreases; Brake components; Parts cleaning; 600 ml,600 ml Aerosol,EUR/GBP,–,–,MCB008 brake cleaner red aerosol | Aerosol can close-up,59,In Stock,,/images/MCB008.jpeg
CH-004,MCB090,Corrosion Protect 500ml,Chemicals,Workshop Chemicals,Universal,Thick-film protective wax for long-term preservation of metal surfaces.,Thick-film wax; Long-term preservation; Corrosion barrier; 500 ml,500 ml Aerosol,EUR/GBP,–,–,MCB090 corrosion protect aerosol | Can with coating being sprayed,59,In Stock,,/images/MCB090.jpeg
GP-001,BUC10682,"WARN ProVantage 2,041 kg Winch – XUV835M/865M/865R",Gator Parts,Winches,XUV835M; XUV865M; XUV865R; XUV855M S4 MY17+; XUV855D S4 MY17+,"WARN ProVantage 4,500 lb (2,041 kg) winch kit for XUV835M, 865M and 865R Gator vehicles.","2,041 kg pull; WARN ProVantage; 4,500 lb rated; Recovery winch; XUV835M/865M/865R",Kit,EUR/GBP,–,–,BUC10682 WARN winch mounted on XUV | Winch on front of Gator,48,In Stock,,/images/BUC10682.jpeg
GP-002,BUC10138,Beacon Light – XUV835M/865M/865R,Gator Parts,Lighting,XUV835M; XUV865M; XUV865R,"Amber rotating/LED beacon light for XUV835M, 865M and 865R models.",Amber beacon; High visibility; Bolt mount; XUV835/865 specific,Each,EUR/GBP,–,–,BUC10138 amber beacon light orange | Beacon on Gator roof,47,In Stock,,/images/BUC10138.jpeg
GP-003,BM24812,Cargo Box Power Lift – XUV590/XUV550 S4,Gator Parts,Cargo,XUV590; XUV590 S4; XUV550 S4,Powered cargo box lift for XUV590 and 550 S4 models. Electrically raises and lowers cargo box.,Electric powered; Easy dumping; XUV590 & 550 S4; Bolt-on,Kit,EUR/GBP,–,–,BM24812 powered cargo lift | Cargo box lifting on Gator,46,In Stock,,/images/BM24812.jpeg
AC-001,VLC5802,CanBus DAB+ CD Radio Bluetooth USB AUX,Accessories,Radios,Universal – all John Deere machines with 12V,"CanBus-friendly DAB+ CD radio with Bluetooth, AUX input and USB. iPhone and Android compatible.",DAB+; CD; Bluetooth; AUX in; USB; CanBus friendly; iPhone & Android,Each,EUR/GBP,–,–,VLC5802 radio unit black | Radio installed in cab fascia,49,In Stock,,/images/VLC5802.png
AC-002,MCXFA2802,DMR Bluetooth DAB+ Radio Spotify Alexa,Accessories,Radios,Universal,DMR Bluetooth DAB+ radio with Spotify streaming and Amazon Alexa voice control.,DAB+; Bluetooth; Spotify; Alexa; iPhone & Android; DMR format,Each,EUR/GBP,–,–,MCXFA2802 smart radio unit | Radio with speaker grille,49,In Stock,,/images/MCXFA2802.png
AC-003,MCXFA1981,"Universal LED Light Bar 615mm 10,800 lm Flood",Accessories,Lighting,Universal,"615 mm LED light bar, 10,800 effective lumens, flood pattern. Universal fit.","10,800 eff. lumens; Flood; 615 mm; Universal mount; High output",Each,EUR/GBP,–,–,MCXFA1981 LED light bar 615mm | Bar on plain white background,51,In Stock,Installation kit MCXFA1984 sold separately,/images/MCXFA1981.jpeg
AC-004,MCXFA2351,Portable 12V Mini Fridge,Accessories,Cab Accessories,Universal – tractor/combine/vehicle cab,"Portable 12V mini fridge/warmer for cab. Dual cool/heat modes. Fits bottles, cans, food.",12V; Dual cool/heat; Portable; Cab-ready; Bottles & cans; Dual mode,Each,EUR/GBP,–,–,MCXFA2351 12v mini fridge black | Fridge unit with cord,50,In Stock,,/images/MCXFA2351.jpeg
AC-005,MCXFA1754,Wiper Blade 460mm (18 inch),Accessories,Wiper Blades,Universal,"Natural rubber wiper blade 460 mm (18""). Multi-fit adaptors included. Low noise and judder-free.",Natural rubber; 460 mm; Multi-fit; Low noise; Judder-free; Metal frame,Each,EUR/GBP,–,–,MCXFA1754 wiper blade | Blade on white background,50,In Stock,Also available: 510/530/560/610 mm,/images/MCXFA1754.png
HW-001,MCAK15244080,Cold Water High-Pressure Washer AC-200EC,High Pressure Washers,Cold Water,Agricultural buildings; Machinery,"3-phase 400V, 7.0 kW, 40-200 bar cold water washer. For stable and machinery cleaning.",3-phase 400V; 7.0 kW; 40-200 bar; Cold water; Stable & machinery cleaning; 467×407×1010 mm,Each,EUR/GBP,–,–,AC-200EC cold pressure washer green yellow wheels | Washer unit,61,Available on Order,Ask dealer for latest price,/images/MCAK15244080.jpeg
HW-002,MCAK10716310,Hot Water High-Pressure Washer AC-180EH,High Pressure Washers,Hot Water,Agricultural buildings; Machinery with oil/grease,"3-phase 400V, 8.4 kW, 30-180 bar hot water washer. Ideal for oil/grease removal from machinery.",3-phase 400V; 8.4 kW; 30-180 bar; Hot water; Oil & grease cleaning; 1330×750×1060 mm,Each,EUR/GBP,–,–,AC-180EH hot water washer large green unit | Washer at work on tractor,62,Available on Order,Hot water needs less detergent and lower pressure,/images/MCAK10716310.jpeg
